ID,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
1610, 12  0 18.602485 ,  +80 51 11.47021 , -   65.50 , -   37.49 ,    3.9 ,  6.21  
1611, 12  0 26.484404 ,  +49 35  5.86692 , -   85.31 , +   40.65 ,    7.0 ,  8.70  
1612, 12  1 37.298722 ,  +64 56 21.62674 , -   44.22 , -   23.84 ,    9.7 ,  7.24  
1613, 12  1 39.471386 ,  +36  2 31.51021 , -   84.65 , -   78.50 ,    9.0 ,  5.59  
1614, 12  1 40.806445 ,  +39 35 11.71705 , +   19.19 , -   69.54 ,   15.4 ,  8.62  
1615, 12  1 44.803580 ,  +13 24 37.31620 , -    5.04 , -    9.69 ,    3.3 ,  8.96  
1616, 12  2 37.692609 ,  -69 11 32.24052 , -   39.03 , -    7.40 ,   10.5 ,  5.89  
1617, 12  2 59.947297 ,  -22  9  8.52184 , -   23.67 , +   10.17 ,    3.0 ,  7.83  
1618, 12  3  6.739107 ,  -16 27 22.69359 , +    5.45 , -    5.85 ,    4.5 ,  8.27  
1619, 12  3 18.517850 ,  +29  7 14.07562 , +    7.70 , -   16.66 ,    3.0 ,  8.30  
1620, 12  3 52.196658 ,  -53 29 53.53562 , -   19.25 , -    2.16 ,    3.7 ,  6.99  
1621, 12  4 42.994474 ,  + 3 34 23.18362 , -   16.65 , -   28.06 ,    6.6 ,  7.14  
1622, 12  5 11.953110 ,  -34 12 32.36360 , -    8.80 , -    0.25 ,    2.6 ,  7.46  
1623, 12  5 12.528899 ,  - 1 30 32.54056 , -  513.24 , +   57.05 ,   30.5 ,  8.16  
1624, 12  5 45.354864 ,  +53 29  1.36720 , -   52.47 , -   10.13 ,    2.8 ,  8.21  
1625, 12  5 59.814393 ,  - 3  7 53.72393 , -   27.85 , -   19.46 ,    6.5 ,  6.37  
1626, 12  6 19.448943 ,  +46 17  2.73477 , -   33.30 , -   25.25 ,    2.8 ,  7.54  
1627, 12  6 47.323662 ,  -12 14 27.05242 , -  104.92 , -    1.52 ,   13.0 ,  6.77  
1628, 12  7 10.755745 ,  + 9 39 46.38964 , -   64.29 , -    5.85 ,    7.1 ,  7.40  
1629, 12  7 14.147650 ,  +17 36 27.72278 , -   45.49 , +    6.24 ,    3.7 ,  9.17  
1630, 12  7 35.295608 ,  -31 24 38.02001 , -  109.06 , -  109.19 ,   30.4 ,  6.72  
1631, 12  7 49.874643 ,  -75 22  1.26847 , -   92.48 , +   18.97 ,    7.4 ,  5.17  
1632, 12  8 21.704646 ,  -30 57 49.78404 , +   52.39 , -   68.93 ,   11.4 ,  9.14  
1633, 12  8 35.204410 ,  - 6 51 16.22346 , -   17.74 , -   24.52 ,    1.7 ,  8.69  
1634, 12  9 27.800930 ,  +38 37 54.63088 , -   32.80 , -   59.65 ,    8.5 ,  7.39  
1635, 12  9 47.072468 ,  +74 39 40.92789 , -    6.04 , +    1.14 ,   13.8 ,  6.34  
1636, 12 10  3.418176 ,  + 5 48 25.22857 , -  159.37 , +   18.31 ,   22.8 ,  5.72  
1637, 12 10  6.332437 ,  +24 15 40.10185 , -    4.82 , +   17.42 ,   11.7 ,  8.76  
1638, 12 10 33.816706 ,  -37 52 13.25717 , +   46.58 , -   33.35 ,   13.9 ,  6.07  
1639, 12 11 16.107991 ,  +86 55 55.39184 , -   22.95 , -    3.51 ,    5.2 ,  8.04  
1640, 12 11 28.619081 ,  -44 16 58.26043 , +  142.74 , -   37.75 ,   23.6 ,  6.59  
1641, 12 11 32.108107 ,  +34 15 31.23304 , +   60.88 , -   94.23 ,   13.8 ,  7.30  
1642, 12 11 59.025819 ,  -25 56 29.33051 , -    0.53 , -    6.42 ,    5.6 ,  7.43  
1643, 12 11 59.844434 ,  -63 22 50.86676 , -   22.25 , -   20.28 ,    9.5 ,  7.45  
1644, 12 12  9.289865 ,  +20 32 31.42930 , -   14.98 , -   17.30 ,    6.7 ,  5.60  
1645, 12 12 14.241266 ,  - 4 24  7.10376 , +   10.04 , -   13.40 ,    -.4 ,  7.86  
1646, 12 12 48.043550 ,  -37 31 37.58021 , +   12.14 , -    5.38 ,    2.9 ,  7.43  
1647, 12 13 25.939304 ,  +10 15 44.42767 , -   93.07 , -    7.96 ,   20.1 ,  5.85  
1648, 12 14  5.627883 ,  +66  6 33.45831 , -   33.07 , +    7.15 ,    5.0 ,  6.74  
1649, 12 14  8.367021 ,  +30 49  9.06332 , -  131.55 , -  105.92 ,   15.2 ,  8.25  
1650, 12 15  8.492138 ,  +70 12   .02678 , -   24.12 , -   28.50 ,    6.9 ,  5.72  
1651, 12 15 20.267368 ,  +87 42   .42021 , -   27.76 , +   52.47 ,   21.4 ,  6.27  
1652, 12 16   .186604 ,  +14 53 56.65119 , -   80.06 , -   30.85 ,   16.4 ,  5.09  
1653, 12 16 20.538508 ,  +23 56 43.47306 , -   26.11 , -    5.81 ,   13.1 ,  4.93  
1654, 12 17 57.542252 ,  + 1 34 31.14786 , -   26.57 , -    6.74 ,    3.9 ,  7.56  
1655, 12 18 20.074899 ,  -51 14 42.63155 , -   15.11 , -   13.49 ,    3.5 ,  7.58  
1656, 12 18 31.620313 ,  +30 14 56.56794 , +   76.52 , -  118.67 ,   18.0 ,  6.23  
1657, 12 18 48.244125 ,  -29 57 39.23754 , +    7.21 , -   33.14 ,    7.8 ,  8.52  
1658, 12 18 49.982834 ,  +75  9 38.01829 , -   36.18 , +    4.29 ,   11.2 ,  5.47  
1659, 12 19 32.135322 ,  -32 35 19.77517 , -   15.60 , +    3.10 ,    4.6 ,  7.45  
1660, 12 21 21.609057 ,  -60 24  4.13000 , -  171.23 , +   91.61 ,   14.3 ,  3.59  
1661, 12 21 37.817876 ,  - 0  9 28.78537 , -   28.21 , -   16.32 ,    6.0 ,  8.08  
1662, 12 21 56.248808 ,  +47 10 55.93256 , -   57.90 , -   23.11 ,   10.6 ,  6.33  
1663, 12 23  9.537382 ,  - 7 17 56.84537 , -   27.15 , +    3.82 ,    3.5 ,  6.96  
1664, 12 23 35.420160 ,  -35 24 45.63843 , -   40.92 , -    7.46 ,    7.9 ,  5.32  
1665, 12 23 47.012033 ,  +42 32 33.87234 , -   80.23 , +   13.88 ,    9.7 ,  6.03  
1666, 12 24  1.494705 ,  +51 33 44.12452 , +   13.22 , +   11.34 ,    8.3 ,  4.76  
1667, 12 24 11.495630 ,  + 5 58 17.63965 , +    6.06 , -   17.46 ,    2.3 ,  7.65  
1668, 12 25  8.518575 ,  -42 30 51.52319 , -  134.18 , -   22.19 ,   18.9 ,  6.10  
1669, 12 26  7.655502 ,  +52 40 35.82558 , -    2.02 , -    3.18 ,    9.7 ,  8.31  
1670, 12 26 24.065041 ,  +27 16  5.65866 , -   13.28 , -    9.95 ,   11.9 ,  4.92  
1671, 12 26 24.189763 ,  +71 55 47.37747 , -  150.76 , -   23.31 ,    8.3 ,  6.33  
1672, 12 26 48.603202 ,  +48 39 41.55159 , -   32.46 , -    0.25 ,    6.7 ,  7.92  
1673, 12 26 53.769899 ,  +69 43 46.19283 , -  102.84 , -  178.86 ,   18.8 ,  8.47  
1674, 12 26 56.273238 ,  +28 16  6.31656 , -   82.07 , -   81.69 ,   19.1 ,  4.35  
1675, 12 27 33.093238 ,  +17 50  3.61942 , -   37.34 , -   25.97 ,    4.0 ,  7.44  
1676, 12 27 33.139981 ,  +41 21 18.21041 , -   12.46 , -   10.20 ,    5.5 ,  6.51  
1677, 12 27 35.103264 ,  +55 42 45.80645 , -   21.78 , -   11.62 ,    7.4 ,  5.68  
1678, 12 27 51.547774 ,  - 4 36 54.99278 , -   87.47 , +    2.76 ,   10.9 ,  6.23  
1679, 12 29   .525653 ,  -83 48  9.61236 , -   15.42 , +    7.17 ,    4.5 ,  6.61  
1680, 12 29  9.691085 ,  - 2 25 46.43102 , -   20.65 , -    4.88 ,    1.5 ,  6.86  
1681, 12 29 28.249063 ,  +11  8 20.02529 , -   34.15 , +    5.93 ,    1.2 ,  9.25  
1682, 12 30  1.440500 ,  +62 50 51.45331 , -   50.63 , -    6.10 ,    9.8 ,  9.29  
1683, 12 31 21.416393 ,  + 7 36 15.50964 , -   19.89 , +   10.33 ,    4.1 ,  6.05  
1684, 12 31 50.553419 ,  +29 18 50.91331 , -   10.66 , -    9.35 ,   11.7 ,  7.55  
1685, 12 32 18.594253 ,  -79 47  1.83624 , -   29.23 , +    6.41 ,    7.4 ,  7.10  
1686, 12 32 30.530708 ,  +56 58 34.82221 , -   13.50 , -  121.59 ,   15.3 ,  8.12  
1687, 12 32 32.807456 ,  -21 12 43.61907 , -  136.99 , -   46.00 ,    7.7 ,  6.41  
1688, 12 33  2.878457 ,  +10 17 44.42141 , -   51.08 , +    4.88 ,    6.9 ,  6.29  
1689, 12 33 19.930626 ,  -54 58 52.06309 , -   28.60 , -    9.07 ,    6.8 ,  7.61  
1690, 12 33 29.817007 ,  +38  4  8.55016 , -   77.38 , -   11.80 ,    6.4 ,  6.53  
1691, 12 33 32.165646 ,  +24 26 55.43668 , -   16.35 , -    2.46 ,    2.9 ,  7.24  
1692, 12 35 38.952029 ,  +34  3 33.30912 , -   15.76 , -    2.55 ,    5.6 ,  8.52  
1693, 12 35 45.531687 ,  -41  1 19.00057 , -  107.17 , +    1.17 ,   28.9 ,  5.12  
1694, 12 35 53.094919 ,  +45 46 51.51046 , -    8.62 , +   20.98 ,    3.0 ,  7.28  
1695, 12 36 12.264534 ,  -52 25  3.78481 , -    0.35 , -   10.45 ,    2.7 ,  6.56  
1696, 12 36 58.332050 ,  +17  5 22.33418 , -   36.10 , -   16.98 ,    6.2 ,  5.70  
1697, 12 37  2.287642 ,  +14 15  6.65844 , -    6.24 , -   13.26 ,    5.8 ,  8.93  
1698, 12 38 17.212682 ,  +72  7 34.74730 , +   12.68 , -   12.96 ,    4.9 ,  8.33  
1699, 12 38 22.405355 ,  + 1 51 16.78507 , -   80.04 , -   17.30 ,    6.5 ,  5.68  
1700, 12 38 44.612169 ,  -18 15   .36689 , -  121.35 , +   25.86 ,   16.0 ,  6.00  
1701, 12 38 54.689745 ,  -76  3 57.45785 , -   26.37 , -   19.66 ,    3.9 ,  6.77  
1702, 12 39 16.860819 ,  +35 57  7.04525 , +   19.33 , -    3.48 ,    6.4 ,  6.39  
1703, 12 39 35.207389 ,  -23 48 36.82587 , -   37.07 , -    3.39 ,    4.9 ,  7.66  
1704, 12 40 42.994691 ,  -16  8 48.41015 , -   21.14 , -    9.16 ,    2.8 ,  8.61  
1705, 12 41 55.831879 ,  -47 36 21.98011 , +    0.09 , -    4.58 ,    5.4 ,  7.84  
1706, 12 42 17.734614 ,  +33 41 18.88260 , -  220.43 , -  107.28 ,   17.5 ,  6.64  
1707, 12 42 39.026571 ,  +28 21 35.07502 , -   22.75 , -   54.59 ,   13.6 ,  7.48  
1708, 12 42 50.265654 ,  -63  3 31.04753 , -   13.29 , -    3.42 ,    3.3 ,  5.27  
1709, 12 43 24.207338 ,  +39 38 20.94875 , -    9.37 , +    2.35 ,    5.6 ,  9.13  
1710, 12 43 32.053345 ,  -26 18  5.46292 , -   23.20 , -   12.19 ,    4.2 ,  7.50  
1711, 12 43 32.111403 ,  + 2 37 16.14040 , -   18.34 , +   21.59 ,   12.3 ,  8.43  
1712, 12 43 58.669487 ,  -36 20 56.95055 , +    7.87 , -    7.52 ,    3.3 ,  6.38  
1713, 12 44  7.826551 ,  -64 12 41.52484 , -   10.80 , -   20.33 ,    6.8 ,  8.57  
1714, 12 44 11.176051 ,  - 2 50 33.21642 , -   71.68 , -    8.45 ,   12.5 ,  6.76  
1715, 12 44 26.014254 ,  +80 37 15.68552 , +   31.75 , -   42.81 ,    7.0 ,  6.33  
1716, 12 44 33.644613 ,  +13 20 54.87804 , -    6.27 , -   22.52 ,    2.9 ,  8.84  
1717, 12 44 42.841610 ,  -17 46 41.86335 , -    6.62 , -   36.31 ,    3.9 ,  7.22  
1718, 12 45  5.960232 ,  -60  4 32.71043 , -   42.85 , +    3.88 ,    4.4 ,  7.24  
1719, 12 45 23.781714 ,  -41 21 56.65820 , +    7.14 , -    4.78 ,    2.8 ,  8.82  
1720, 12 46 48.447760 ,  +43  9  6.70855 , +   10.78 , -   36.33 ,    9.3 ,  7.91  
1721, 12 47 34.345027 ,  +66 47 25.09551 , +    2.49 , -    4.70 ,    4.1 ,  5.43  
1722, 12 47 48.284978 ,  +50  9 25.02410 , -   99.99 , -    5.45 ,   15.3 ,  6.82  
1723, 12 48 17.855890 ,  +19 19 21.47806 , +    0.27 , +    5.46 ,    3.3 ,  7.64  
1724, 12 48 47.048363 ,  +24 50 24.81484 , -  334.62 , -  105.87 ,   58.2 ,  6.29  
1725, 12 48 54.213385 ,  +14  7 21.30805 , +   28.66 , -   19.50 ,    8.1 ,  5.71  
1726, 12 48 55.525479 ,  +54 14 53.47746 , -    1.50 , +    0.78 ,    3.6 ,  8.52  
1727, 12 50 23.868541 ,  - 1 49 30.16196 , -   27.00 , -    2.10 ,     .1 ,  8.88  
1728, 12 50 58.371434 ,  + 3 35 53.96070 , -   18.42 , +    1.03 ,    1.3 ,  9.13  
1729, 12 53  6.906415 ,  -48 56 35.93233 , -   79.00 , -   25.26 ,   10.7 ,  4.33  
1730, 12 53 32.107317 ,  +19 28 51.82135 , -  150.62 , -  176.80 ,   22.7 ,  6.42  
1731, 12 53 44.419733 ,  +35 44 12.34245 , -    1.17 , -   69.62 ,    3.6 ,  8.11  
1732, 12 53 54.399933 ,  + 6 45 46.43723 , -  230.44 , +   93.16 ,   38.1 ,  8.24  
1733, 12 53 56.084345 ,  +87 38 53.93216 , -    9.92 , +   10.16 ,    3.2 ,  7.47  
1734, 12 54 13.085013 ,  +33 32  4.12975 , -   89.88 , +   31.67 ,   13.4 ,  6.25  
1735, 12 54 30.206689 ,  -20  5 52.89964 , -   19.04 , -    2.38 ,    3.5 ,  6.73  
1736, 12 54 56.521182 ,  +47 11 48.19702 , -   17.32 , -    6.71 ,    4.6 ,  5.75  
1737, 12 55 19.431342 ,  -42 54 56.63567 , -   37.90 , -   12.60 ,    5.4 ,  5.46  
1738, 12 55 32.454664 ,  -30  4 12.40237 , +   14.09 , -   10.74 ,    5.3 ,  6.90  
1739, 12 55 38.413202 ,  + 0  3 19.04513 , -   29.54 , -    4.31 ,    4.9 ,  6.78  
1740, 12 55 53.243186 ,  -15 19 37.28797 , -   18.90 , -    0.91 ,    4.8 ,  6.18  
1741, 12 57 19.031952 ,  - 8 54 38.95152 , +   15.59 , -    2.63 ,    5.1 ,  6.93  
1742, 12 57 36.670211 ,  -32 18  1.26199 , -   37.74 , -   22.24 ,    4.1 ,  7.98  
1743, 12 58  9.804446 ,  -23  3 18.50883 , -  122.34 , -   11.57 ,   16.7 ,  6.95  
1744, 12 58 35.907823 ,  - 6 56 54.05572 , -   29.51 , +    5.17 ,    3.3 ,  7.76  
1745, 12 58 55.442824 ,  +17 24 34.00177 , -   37.72 , +   34.67 ,   10.9 ,  4.76  
1746, 13  0 22.128620 ,  +13 50 39.26468 , +   38.30 , -   62.85 ,    8.8 ,  7.89  
1747, 13  0 25.648731 ,  +31 46 45.15188 , +   10.20 , -   12.57 ,    4.8 ,  6.65  
1748, 13  1 23.818974 ,  -11  9 25.07068 , +    3.94 , -   33.62 ,    8.3 ,  8.73  
1749, 13  1 30.428674 ,  + 1 31 13.12270 , +    1.95 , -    4.88 ,    2.4 ,  7.46  
1750, 13  2 22.653933 ,  -28 17 10.70127 , -   46.57 , +    7.91 ,    2.1 ,  6.68  
1751, 13  2 40.422718 ,  +59 42 58.69764 , -   28.91 , -   10.14 ,    5.3 ,  6.50  
1752, 13  2 54.069261 ,  +51  2 20.82404 , +   17.09 , -   11.31 ,    4.2 ,  8.31  
1753, 13  2 59.455196 ,  +22 38 15.15892 , -   36.18 , -   18.29 ,    6.5 ,  6.92  
1754, 13  3  2.530408 ,  -19  4 39.21510 , -   63.90 , -   31.97 ,    8.4 ,  7.80  
1755, 13  3 23.413776 ,  -46  1 45.47675 , -    9.05 , +   19.41 ,    5.4 ,  8.40  
1756, 13  3 55.915871 ,  -24 31  1.97019 , -   26.31 , +   29.77 ,    2.6 ,  7.51  
1757, 13  4 39.303013 ,  +39 19 24.57216 , -   54.30 , -    0.33 ,    3.6 ,  7.72  
1758, 13  5  6.658420 ,  -47  7   .87675 , -   46.41 , -   34.19 ,    8.9 ,  6.44  
1759, 13  5 51.654911 ,  -14  6 42.98488 , -   35.31 , -   22.40 ,    2.1 ,  7.18  
1760, 13  6 35.081971 ,  -41 35 18.39401 , +   44.34 , -   14.61 ,    9.6 ,  5.59  
1761, 13  7  9.754052 ,  +28 42 45.67418 , -   21.17 , +    5.96 ,    2.0 ,  8.40  
1762, 13  7 10.729877 ,  +27 37 29.06264 , +   33.46 , -   68.77 ,   10.7 ,  4.80  
1763, 13  7 11.978729 ,  +70  6 23.98875 , -    6.67 , -    7.31 ,    4.4 ,  9.17  
1764, 13  7 39.023716 ,  -30 26  5.75066 , +   24.70 , -   12.94 ,    9.2 ,  7.65  
1765, 13  8 32.467028 ,  - 8 59  3.78187 , -   35.53 , -   63.64 ,    8.7 ,  5.57  
1766, 13  8 51.022070 ,  + 5 12 26.08698 , +   82.53 , -  667.75 ,   38.0 ,  6.78  
1767, 13  9   .793624 ,  -33 30  5.56151 , -    9.99 , -    5.49 ,    6.4 ,  7.17  
1768, 13  9 47.847207 ,  +16 50 55.00987 , -   66.09 , -   14.37 ,    4.4 ,  5.91  
1769, 13  9 50.176692 ,  +62 13 44.84207 , -   27.57 , -    7.96 ,    4.5 ,  6.52  
1770, 13 11 52.354896 ,  -52 48 44.23279 , -   26.23 , +    2.53 ,    2.5 ,  7.02  
1771, 13 12  3.184312 ,  -37 48 10.87931 , -  382.62 , +   46.92 ,   48.8 ,  4.85  
1772, 13 12 32.920048 ,  +11 33 21.95122 , -   52.97 , -   29.91 ,    4.0 ,  5.76  
1773, 13 13 14.120294 ,  +46 29 38.23797 , -  171.00 , -   11.94 ,   11.5 ,  8.41  
1774, 13 13 31.981151 ,  +72 47 56.75424 , +   16.86 , -   13.92 ,   11.3 ,  6.57  
1775, 13 14  3.617890 ,  + 9 46 26.31023 , +   22.39 , +   25.05 ,   10.8 ,  8.59  
1776, 13 14 12.087722 ,  -58 41  2.17082 , -   55.25 , -   11.57 ,    9.4 ,  5.91  
1777, 13 14 17.331310 ,  -78 26 50.83742 , -    8.65 , -    4.08 ,    1.4 ,  5.84  
1778, 13 15 11.480451 ,  +84 45  7.72254 , -  130.99 , +   17.61 ,   18.6 ,  7.27  
1779, 13 15 37.327868 ,  -41  8 28.63922 , -   22.24 , +    2.12 ,    3.8 ,  7.85  
1780, 13 16 16.173253 ,  +15  1 27.11125 , -   83.94 , -   43.11 ,    6.4 ,  8.27  
1781, 13 16 25.483377 ,  - 1 23 25.94470 , -   33.66 , -   31.02 ,    8.2 ,  6.69  
1782, 13 16 28.633586 ,  +68 24 28.80216 , -   13.92 , +   16.24 ,    7.1 ,  6.20  
1783, 13 17 44.105056 ,  - 8 43 59.76803 , +   14.36 , -   51.18 ,   10.2 ,  7.25  
1784, 13 18 14.509882 ,  +49 40 55.41251 , -   33.88 , +   18.06 ,   11.8 ,  5.14  
1785, 13 18 23.410746 ,  -28 19 57.06977 , -   75.73 , -   85.78 ,    5.5 ,  6.80  
1786, 13 18 41.756054 ,  + 7 11 11.56653 , -  165.85 , +   51.58 ,   13.3 ,  8.44  
1787, 13 18 58.273180 ,  - 1 16 10.06669 , -  100.84 , -   48.96 ,    5.2 ,  8.63  
1788, 13 19  4.251767 ,  +35  7 40.72392 , -   29.48 , +   17.85 ,   15.3 ,  6.01  
1789, 13 19  4.722667 ,  -20  0 12.64287 , +   17.71 , -    4.48 ,    5.0 ,  7.61  
1790, 13 19 18.982403 ,  -72  2  8.16920 , -    5.88 , -   51.32 ,    7.3 ,  6.04  
1791, 13 20 21.737283 ,  +65  6 21.79377 , +    6.82 , +    9.81 ,    4.3 ,  8.67  
1792, 13 20 26.789782 ,  +43  6 40.20062 , -  424.98 , -   88.13 ,   29.0 ,  8.12  
1793, 13 20 48.339205 ,  -55 48  2.47842 , -    3.81 , +    3.94 ,     .5 ,  6.00  
1794, 13 20 49.079459 ,  +53 51 34.06643 , +    2.26 , -    4.38 ,    3.8 ,  9.08  
1795, 13 21 12.008130 ,  +61  5  5.29658 , -  283.73 , +   37.54 ,   25.2 ,  8.48  
1796, 13 21 50.148950 ,  +39 22 51.70982 , -    9.78 , -    2.47 ,    4.2 ,  8.74  
1797, 13 23  2.599879 ,  -48 33 46.04991 , -    8.96 , -    2.41 ,    2.4 ,  6.37  
1798, 13 23 16.179639 ,  -60 13 37.97663 , -   11.21 , -    9.84 ,    4.9 ,  8.06  
1799, 13 23 18.893499 ,  - 4 55 27.94059 , -   20.03 , -   16.33 ,    2.8 ,  5.88  
1800, 13 25  6.677695 ,  +23 51 15.90798 , -   11.20 , -    7.96 ,   12.8 ,  5.75  
1801, 13 25  7.117991 ,  -74 53 16.14731 , -  108.34 , -  132.21 ,   14.5 ,  5.04  
1802, 13 25 45.531585 ,  +56 58 13.77759 , -  217.93 , +   11.39 ,   45.7 ,  7.29  
1803, 13 26 10.467354 ,  +20 48 43.49165 , +   54.61 , -   43.85 ,    8.1 ,  8.61  
1804, 13 26 11.415566 ,  - 1 11 32.90454 , -  111.88 , +    4.23 ,   13.3 ,  5.97  
1805, 13 26 56.802646 ,  +78 38 37.92883 , -  140.77 , +   30.24 ,   11.1 ,  5.74  
1806, 13 27 44.948596 ,  +24 24 15.28362 , +   21.01 , -   27.18 ,    5.7 ,  8.65  
1807, 13 27 55.485823 ,  +81 15 54.99867 , -    6.01 , +   18.10 ,    4.0 ,  8.70  
1808, 13 28 26.639909 ,  -25 12 46.19070 , -   45.57 , +    1.11 ,   10.1 ,  7.33  
1809, 13 28 28.468883 ,  - 9 44 36.77916 , -    9.37 , +   19.88 ,    3.2 ,  8.21  
1810, 13 29 13.000197 ,  +10 49  5.91734 , -   60.68 , -   35.27 ,   11.9 ,  5.65  
1811, 13 29 38.413600 ,  -52 45 26.46048 , -   25.52 , +    4.22 ,    6.0 ,  7.38  
1812, 13 29 44.514893 ,  +37 36  4.78928 , -    0.25 , -   26.57 ,    2.2 ,  9.23  
1813, 13 30   .080945 ,  + 7 10 43.87160 , +    3.58 , +    4.87 ,    4.0 ,  6.18  
1814, 13 30  6.490000 ,  -56 40 28.44946 , -   15.27 , -   13.84 ,    2.5 ,  7.74  
1815, 13 31 57.884920 ,  - 6 15 20.94237 , -  104.14 , -   43.87 ,    7.5 ,  4.68  
1816, 13 32 22.895568 ,  +34 53 17.12235 , +   13.08 , -   27.28 ,    2.3 ,  8.32  
1817, 13 32 35.897612 ,  -28 41 33.96289 , -   96.91 , -   21.84 ,   15.2 ,  5.69  
1818, 13 32 58.073090 ,  -10  9 53.99876 , -   30.51 , -   37.85 ,   12.3 ,  5.21  
1819, 13 33 13.149912 ,  +47 45 31.43046 , +   20.41 , -   38.68 ,    4.8 ,  7.47  
1820, 13 34 10.035858 ,  +75 47 51.39924 , +   14.60 , -    2.88 ,    4.2 ,  7.84  
1821, 13 34 27.259548 ,  +49  0 57.50225 , -  128.07 , +   27.48 ,   17.1 ,  4.68  
1822, 13 34 43.576481 ,  -33 18 39.07586 , -   52.21 , -   12.12 ,    3.6 ,  6.46  
1823, 13 35  9.852881 ,  +11 57 58.26231 , -   41.46 , -   55.74 ,    2.0 ,  8.50  
1824, 13 35 52.058908 ,  + 8 17 34.00658 , -   41.79 , +    7.20 ,    3.2 ,  6.93  
1825, 13 36 59.083113 ,  +24 36 47.87001 , -   25.79 , -    2.36 ,    6.4 ,  5.72  
1826, 13 37  6.010541 ,  -44  8 35.53336 , -   50.93 , -   14.35 ,    8.6 ,  5.96  
1827, 13 37 15.763467 ,  + 4 25  3.41893 , -   68.78 , +   25.26 ,    8.4 ,  8.64  
1828, 13 37 30.336182 ,  - 0 13 17.36289 , +    3.46 , +    6.26 ,    5.9 ,  8.77  
1829, 13 37 46.957768 ,  - 3 14  9.64791 , +    5.69 , -   24.97 ,    5.3 ,  6.68  
1830, 13 38  3.782081 ,  +50 57 35.97423 , -    1.84 , +    2.42 ,    3.7 ,  7.84  
1831, 13 38  5.582338 ,  +66 36 22.88001 , +   15.60 , +    5.72 ,    4.7 ,  7.87  
1832, 13 38  9.612203 ,  -19 11 19.45952 , -   20.61 , -   10.00 ,    6.2 ,  8.52  
1833, 13 38 19.803833 ,  - 9  5 29.69262 , -    7.30 , -    0.43 ,    -.7 ,  9.08  
1834, 13 38 45.716540 ,  -70 26 41.38329 , -   65.76 , -   31.29 ,    7.4 ,  6.11  
1835, 13 39  1.559581 ,  -24 51 45.61637 , -   40.23 , -   26.78 ,    4.8 ,  7.52  
1836, 13 39 56.723534 ,  -83 54 29.96100 , +   88.95 , +   14.91 ,   11.8 ,  7.22  
1837, 13 39 58.519037 ,  -16 26 47.53125 , -    3.63 , -    9.04 ,    3.6 ,  6.71  
1838, 13 40 44.272865 ,  +54 40 53.88124 , -   19.48 , -   11.45 ,    5.9 ,  4.63  
1839, 13 41 12.022382 ,  -42 30  8.55862 , -    0.08 , +    5.03 ,    3.8 ,  8.58  
1840, 13 41 29.892414 ,  +64 49 20.68206 , +   55.02 , -   11.52 ,   14.7 ,  5.85  
1841, 13 42 32.759814 ,  +15  8 49.29769 , +   21.41 , -   19.68 ,    2.8 ,  7.23  
1842, 13 42 39.203002 ,  +78  3 51.97498 , -   64.16 , +   45.98 ,   10.2 ,  5.91  
1843, 13 43 52.959535 ,  -52  5 58.69619 , -   28.46 , -   15.50 ,    5.6 ,  7.69  
1844, 13 43 54.237316 ,  - 5 29 56.16729 , -   52.42 , -   14.52 ,    7.8 ,  6.51  
1845, 13 45  8.761604 ,  -71 31 58.85841 , -   33.20 , -   17.19 ,    5.9 ,  7.16  
1846, 13 45 31.360977 ,  +84 30 47.90441 , -    3.59 , -    7.18 ,    2.9 ,  7.73  
1847, 13 46 59.774983 ,  +38 32 33.71263 , -  133.88 , -   21.35 ,   10.7 ,  5.51  
1848, 13 47 13.191052 ,  -19 15 20.82615 , -   57.66 , -   12.86 ,   10.3 ,  6.73  
1849, 13 47 27.638542 ,  -50 14 57.44585 , +   58.87 , +   12.69 ,   16.6 ,  5.92  
1850, 13 48  5.109179 ,  +42  2 50.88861 , +   22.43 , -   56.59 ,    5.9 ,  6.59  
1851, 13 48 11.186279 ,  -68  8 45.95242 , -    8.73 , -   11.43 ,    5.0 ,  7.61  
1852, 13 48 38.735289 ,  +31 11 24.74424 , -    5.40 , +   37.92 ,   10.4 ,  5.61  
1853, 13 50  1.385484 ,  +78 59 44.48071 , -   54.72 , +    1.71 ,    5.7 ,  6.59  
1854, 13 50  6.507853 ,  -29  4 52.74861 , -   50.93 , -   32.40 ,    9.0 ,  6.19  
1855, 13 50 19.932823 ,  -48 16 26.33267 , -    9.79 , -   11.26 ,    4.7 ,  8.08  
1856, 13 50 23.841527 ,  +26 17 17.98979 , -   15.94 , -   28.27 ,    3.4 ,  8.85  
1857, 13 50 59.119759 ,  +68 18 55.08227 , -  176.22 , -   58.03 ,   10.5 ,  6.39  
1858, 13 51 47.096997 ,  +39 40  9.91664 , +    4.52 , -   19.14 ,    1.3 ,  7.40  
1859, 13 51 47.430807 ,  -69 24  4.52531 , +    4.34 , -    4.26 ,    4.0 ,  5.73  
1860, 13 51 47.475496 ,  +34 26 39.26496 , -   19.86 , -   31.87 ,    5.4 ,  4.76  
1861, 13 52 18.406160 ,  +12  9 54.49127 , +   27.19 , -    9.25 ,   10.0 ,  6.10  
1862, 13 52 54.163693 ,  - 6 29 18.78820 , -    7.86 , +   19.73 ,    4.7 ,  8.83  
