 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
3399, mu Oph             , 17 37 50.713227 ,  - 8  7  7.57089 , -   11.10 , -   19.91 ,    5.9 ,  4.58  
5546,                    , 17 37 55.190998 ,  +41  0 39.03142 , +  121.23 , +    8.45 ,   18.3 ,  8.05  
5547,                    , 17 38 18.935975 ,  +36 44 50.22570 , +   29.76 , +    0.50 ,    6.9 ,  6.78  
5548,                    , 17 39  5.281595 ,  -17 26 47.05579 , -    4.75 , -    2.73 ,    6.9 ,  8.60  
5550,                    , 17 39 22.708714 ,  + 0 37 32.46768 , -    5.90 , -    0.26 ,     .6 ,  9.39  
5551,                    , 17 39 37.675304 ,  +24 59 21.65227 , +    4.95 , -   16.46 ,    2.1 ,  8.46  
3403,                    , 17 40  1.040914 ,  -32 12  3.84793 , -    2.27 , -    6.49 ,    2.9 ,  6.74  
5552,                    , 17 40 34.979581 ,  -25 37 27.81721 , +   21.74 , -   16.89 ,    5.3 ,  8.96  
3406,                    , 17 40 36.159804 ,  +57 18 37.12489 , -    4.08 , +   21.78 ,    3.5 ,  6.79  
5553,                    , 17 40 40.573555 ,  -62  9 44.76950 , +    9.21 , -   27.49 ,    3.2 ,  8.40  
3401,                    , 17 40 44.502895 ,  -67 51 15.01853 , -   42.90 , -   20.72 ,    8.6 ,  6.48  
3405, $o Ser             , 17 41 24.873186 ,  -12 52 31.10342 , -   72.43 , -   55.05 ,   19.4 ,  4.24  
5554,                    , 17 42 11.807111 ,  +80 16 56.80389 , -    8.30 , +    4.02 ,    3.0 ,  7.08  
5555,                    , 17 42 14.315305 ,  - 8  4 17.25865 , -   15.57 , -    5.69 ,    6.7 ,  9.31  
3402,                    , 17 42 26.835145 ,  -73 23 34.05399 , -    5.35 , -   30.44 ,    5.6 ,  7.34  
5556,                    , 17 42 35.186151 ,  - 4 50 59.13410 , +   18.14 , -    9.14 ,    4.2 ,  6.62  
5557,                    , 17 42 50.053300 ,  +85 40 12.38303 , +    8.13 , -   11.52 ,    8.7 ,  7.58  
3408,                    , 17 43  5.546198 ,  +44  5  3.55065 , -   42.38 , +   34.60 ,    2.6 ,  6.38  
3407,                    , 17 43 22.022585 ,  +14 17 42.60483 , +    1.97 , +   28.03 ,    8.7 ,  6.22  
5558,                    , 17 44 34.683298 ,  -10 20 10.76112 , +   12.75 , -    9.59 ,    8.0 ,  8.12  
3410,                    , 17 45 40.234455 ,  +31 30 16.83874 , +    4.39 , -    2.65 ,     .5 ,  6.22  
3411,                    , 17 45 53.722041 ,  +38 52 52.98632 , +    2.23 , -   32.88 ,    8.4 ,  6.53  
5559,                    , 17 46 51.674864 ,  +58 38 19.31028 , +    7.72 , -    1.87 ,    4.1 ,  8.61  
5560,                    , 17 46 53.129516 ,  -41 16 54.63801 , -    1.78 , -    2.02 ,     .0 ,  7.62  
3414,                    , 17 46 53.192164 ,  +36  5 14.91696 , +   11.11 , -   27.52 ,    3.8 ,  6.55  
5561,                    , 17 47 22.261328 ,  +11 25 24.93045 , +    8.70 , +   18.20 ,    6.0 ,  9.11  
5562,                    , 17 47 37.692377 ,  -57 24 14.64219 , +    4.47 , -    1.12 ,    3.9 ,  8.06  
5564,                    , 17 48 37.242317 ,  +44 49 52.95625 , +    4.20 , +    9.80 ,    8.4 ,  8.56  
3412,                    , 17 48 38.061975 ,  -55 24  6.27106 , -   21.43 , +   34.83 ,   19.5 ,  6.09  
3415, 87 Her             , 17 48 49.146354 ,  +25 37 22.32538 , -    4.24 , -   38.67 ,   15.9 ,  5.09  
3409,                    , 17 49  7.200136 ,  -71  5 43.06210 , +    9.06 , -    7.98 ,    4.0 ,  7.49  
5566,                    , 17 49 29.097829 ,  -35 22 41.17008 , +    3.24 , -    4.55 ,    4.7 ,  7.34  
5567,                    , 17 49 48.032001 ,  -76 12  7.13151 , +   33.62 , -   52.33 ,    6.0 ,  7.47  
5568,                    , 17 50  7.615451 ,  +15 29 43.29873 , +    8.36 , +   10.80 ,     .7 ,  8.02  
5569,                    , 17 50 17.267903 ,  +54 43 41.05634 , +    0.93 , +   24.49 ,    5.8 ,  8.56  
5570,                    , 17 51 49.643237 ,  -21  3 31.35725 , +   13.86 , -    0.84 ,    5.3 ,  8.65  
3419,                    , 17 52  4.720555 ,  +39 58 55.52312 , -   12.37 , +   51.75 ,    4.6 ,  6.01  
3420,                    , 17 53 14.185223 ,  + 6  6  5.12579 , -  127.36 , +   69.78 ,   31.8 ,  5.77  
5571,                    , 17 53 27.502576 ,  +52 23  7.66890 , +    6.02 , +    0.58 ,    2.7 ,  8.52  
5572,                    , 17 53 58.108159 ,  +44  9 53.03204 , +   10.47 , +    1.47 ,    2.5 ,  9.02  
5573,                    , 17 54 18.253639 ,  -47 25 36.78267 , -   17.49 , -   22.45 ,    2.9 ,  8.75  
3429, psi^2 Dra          , 17 55 11.154509 ,  +72  0 18.46112 , +    8.83 , -    2.38 ,    4.5 ,  5.43  
3428,                    , 17 55 23.654878 ,  +55 58 17.01486 , +   35.74 , +  124.13 ,   17.7 ,  6.09  
5574,                    , 17 55 44.196024 ,  -44 55 48.34796 , +    0.75 , -   27.16 ,    6.0 ,  7.82  
3427,                    , 17 55 50.810461 ,  +22 27 51.19352 , -    2.15 , -    0.29 ,    6.6 ,  5.62  
5575,                    , 17 55 53.317734 ,  -87 14 25.05794 , +    6.87 , -   11.73 ,    2.9 ,  7.96  
3423,                    , 17 55 54.970117 ,  -18 48  7.75282 , +   13.75 , -   19.90 ,    8.9 ,  6.48  
5576,                    , 17 56  6.444009 ,  -67 15  2.79806 , -    5.98 , -   37.52 ,    5.2 ,  7.76  
5577,                    , 17 56  7.402174 ,  - 1 24 36.06967 , +    3.45 , -    0.34 ,    1.4 ,  7.85  
5578,                    , 17 56 24.432805 ,  -26 46 24.21027 , -   15.16 , -   84.18 ,   21.1 ,  7.39  
5579,                    , 17 56 26.974365 ,  -10 11 20.39750 , -    5.22 , -   24.84 ,    6.3 ,  8.99  
3425,                    , 17 56 47.421160 ,  -44 20 32.08006 , -    5.35 , -   18.86 ,    9.3 ,  4.85  
5580,                    , 17 56 48.042264 ,  -15 41  2.09549 , -    0.01 , -    2.45 ,    2.6 ,  7.62  
5581,                    , 17 56 49.024701 ,  +70  4 52.67595 , -    1.90 , -   30.37 ,    7.4 ,  9.00  
5582,                    , 17 56 51.849058 ,  -64 48 19.64869 , -   13.01 , -   26.67 ,    2.5 ,  8.25  
3426,                    , 17 57 42.735214 ,  -56 53 46.50622 , -    2.68 , -   11.68 ,    3.7 ,  6.26  
5583,                    , 17 58 40.272843 ,  +18 54 15.69832 , -    1.09 , -   11.60 ,    -.7 ,  9.07  
3421,                    , 17 59 21.220727 ,  -77 49 26.15959 , +   21.92 , +    8.26 ,    6.3 ,  6.74  
3430, 4 Sgr              , 17 59 47.554707 ,  -23 48 58.07936 , -    3.14 , -   50.17 ,    7.4 ,  4.74  
3433,                    , 17 59 56.206477 ,  +45 30  4.96377 , +    3.97 , -   33.64 ,    5.3 ,  5.69  
5585,                    , 18  0 21.479079 ,  -49 55   .72265 , +    4.77 , -    6.35 ,    3.3 ,  7.64  
3432,                    , 18  0 52.858924 ,  + 6 16  5.85651 , +    0.83 , -    7.42 ,    1.7 ,  6.36  
5586,                    , 18  1 24.651203 ,  +30 38 43.06126 , +    8.69 , +   15.55 ,    2.4 ,  7.11  
3989,                    , 18  1 34.180363 ,  -85 12 53.38015 , -    4.13 , -  144.65 ,   14.9 ,  6.45  
3431,                    , 18  2 22.794695 ,  -60  8 14.29017 , +    1.84 , -   13.99 ,    1.4 ,  6.94  
5588,                    , 18  2 37.319592 ,  -20 44 15.46188 , +    0.21 , -    5.40 ,     .8 ,  6.78  
5589,                    , 18  2 44.576997 ,  -53 42  7.99528 , +    2.07 , -   15.59 ,    6.6 ,  7.60  
5591,                    , 18  4 10.602337 ,  +11  8 35.40837 , +    0.54 , -    9.63 ,    3.8 ,  8.78  
5592,                    , 18  4 29.903698 ,  +42 51 38.24294 , +    4.32 , +    2.11 ,    2.6 ,  7.09  
5594,                    , 18  5  1.847442 ,  +22 54 51.53713 , -    2.53 , -    1.50 ,    3.6 ,  7.36  
3440,                    , 18  5 11.188097 ,  +66 56 43.93145 , +   15.68 , +   11.03 ,    4.5 ,  6.86  
3990,                    , 18  5 26.855230 ,  -81 29 11.64409 , +   28.39 , -   49.08 ,    3.5 ,  6.37  
5597,                    , 18  7  6.045371 ,  +36 25 14.63279 , +    2.07 , +   12.79 ,    4.9 ,  8.07  
3438,                    , 18  7 11.353292 ,  -21 26 38.17575 , +    0.10 , -    2.16 ,     .6 ,  6.22  
5598,                    , 18  7 21.189766 ,  +15 54 59.39881 , -    6.77 , -  142.05 ,    7.1 ,  6.68  
5599,                    , 18  7 59.223275 ,  +39 55 24.36775 , -   82.60 , +   58.57 ,    9.5 ,  7.73  
3439,                    , 18  8  4.979217 ,  -28 27 25.53473 , +   24.45 , -   31.56 ,    9.3 ,  4.55  
3442,                    , 18  8 33.735558 ,  +14 17  4.98247 , -    6.25 , +    0.01 ,    6.1 ,  6.34  
3437, pi Pav             , 18  8 34.813479 ,  -63 40  6.77687 , +   17.22 , -  205.96 ,   23.5 ,  4.33  
5600,                    , 18  9 41.368034 ,  -24 42 56.19501 , -   22.03 , -   27.36 ,    3.0 ,  8.58  
5601,                    , 18  9 43.120350 ,  + 6 12 23.26673 , -   39.08 , +   25.98 ,    8.1 ,  7.07  
3447,                    , 18 10 31.639881 ,  +54 17 11.58641 , +  107.76 , +  246.69 ,   20.0 ,  5.97  
5603,                    , 18 10 31.733293 ,  +65 22 50.38947 , -   55.35 , +   16.30 ,    4.0 ,  7.72  
3445,                    , 18 10 40.299875 ,  + 3 19 27.32334 , +   18.99 , -    4.96 ,    7.9 ,  5.50  
3444,                    , 18 11  5.561329 ,  -41 21 32.80688 , +   32.32 , -   38.19 ,   12.1 ,  5.86  
3449,                    , 18 11  7.154036 ,  +60 24 34.31427 , -    6.54 , +    4.26 ,    7.1 ,  6.50  
3448, 104 Her            , 18 11 54.156793 ,  +31 24 19.26621 , -   14.73 , +   26.06 ,    5.4 ,  4.96  
5604,                    , 18 11 55.378897 ,  -58 11 25.90630 , +   21.86 , -   38.42 ,    3.7 ,  7.97  
5605,                    , 18 12 14.487147 ,  +52  3 42.79370 , -    0.11 , -    9.91 ,     .0 ,  8.35  
3451,                    , 18 13  4.819074 ,  +38 46 24.57838 , -    6.31 , +    7.97 ,    5.0 ,  6.04  
3450,                    , 18 13 10.000410 ,  - 4  0 41.78894 , +   16.41 , +   22.46 ,   10.4 ,  6.59  
5606,                    , 18 13 40.869741 ,  -41  7 36.59468 , +   49.41 , -   51.42 ,    3.0 ,  7.00  
3446,                    , 18 14 24.113147 ,  -70 45  4.37052 , -    5.15 , -   15.36 ,    2.5 ,  6.70  
3455, 37 Dra             , 18 15 17.077987 ,  +68 45 20.91986 , +   18.07 , -   63.27 ,   11.4 ,  5.96  
3960,                    , 18 15 28.628027 ,  +86 39 27.90512 , -    5.77 , +   27.81 ,    2.7 ,  6.51  
5607,                    , 18 15 53.352423 ,  +30 23 59.51631 , +   32.24 , +   12.42 ,    8.9 ,  6.76  
5608,                    , 18 16 24.902488 ,  +48 22  7.61055 , +    3.17 , +    5.03 ,    1.5 ,  7.45  
3453,                    , 18 17   .919141 ,  -51  4  5.77192 , +    0.76 , -   10.54 ,    9.0 ,  6.06  
3454,                    , 18 17 11.627114 ,  -17 22 25.99169 , -    3.40 , -   14.29 ,    3.1 ,  5.81  
5609,                    , 18 17 14.253875 ,  + 2 57 12.73991 , +    2.23 , -    8.94 ,     .6 ,  8.88  
5610,                    , 18 17 53.605975 ,  +37 58 47.63259 , -   10.13 , -   42.50 ,   11.0 ,  8.65  
5611,                    , 18 17 54.844203 ,  +17 58 52.72519 , +   14.19 , +   35.24 ,    3.8 ,  7.40  
5614,                    , 18 18 59.263003 ,  - 4  6 19.66229 , +    7.17 , -    6.73 ,    4.6 ,  7.60  
5615,                    , 18 21 15.379796 ,  +75 32 55.70845 , +    2.75 , -    3.74 ,    1.6 ,  8.55  
5616,                    , 18 21 27.541095 ,  +58 51 21.43020 , -  130.55 , +  210.39 ,   13.1 ,  8.69  
3458,                    , 18 21 32.663283 ,  +49  7 17.73706 , -   24.11 , +   51.09 ,    4.3 ,  5.02  
5617,                    , 18 22  3.027914 ,  -22 55 18.06831 , -    0.31 , -   10.67 ,    3.1 ,  7.30  
3460,                    , 18 22 49.040036 ,  +17 49 35.82062 , +   72.35 , +   16.30 ,    7.4 ,  5.25  
3459,                    , 18 23 12.162544 ,  -12  0 53.11742 , -    8.31 , -   19.42 ,    5.3 ,  5.71  
3467,                    , 18 24  8.507452 ,  +79 13 21.71405 , -   12.71 , +   63.38 ,    7.8 ,  6.54  
3463, mu Lyr             , 18 24 13.785197 ,  +39 30 26.05939 , -   21.90 , -    4.57 ,    7.3 ,  5.11  
3461,                    , 18 24 18.240701 ,  -44  6 36.91938 , -    0.18 , -   22.25 ,    6.2 ,  5.24  
5618,                    , 18 24 25.588630 ,  +32  7 50.98588 , -    8.38 , -    1.55 ,    3.4 ,  8.15  
5619,                    , 18 25 15.193692 ,  -13 58 42.30446 , +    1.96 , -    4.09 ,     .8 ,  6.61  
3465, 42 Dra             , 18 25 59.138479 ,  +65 33 48.52966 , +  106.78 , -   27.08 ,   10.2 ,  4.82  
3991,                    , 18 28  6.423531 ,  -84 23 14.11889 , +   12.95 , -    8.94 ,    5.4 ,  6.49  
5621,                    , 18 29  1.962640 ,  +11 39  1.58013 , -   16.75 , -    6.89 ,    6.9 ,  7.50  
5622,                    , 18 29 27.569493 ,  -47  5  8.52217 , +    7.49 , +   18.25 ,    4.8 ,  7.60  
5623,                    , 18 29 59.430346 ,  +15 56 39.82864 , -    5.75 , +    0.19 ,    4.2 ,  7.17  
5624,                    , 18 31 22.018029 ,  - 0 28 55.07151 , +    1.16 , -    3.19 ,    4.0 ,  7.07  
5626,                    , 18 31 27.354516 ,  +22 59  9.55845 , +   20.81 , +   41.71 ,    7.5 ,  7.41  
5627,                    , 18 32  1.891540 ,  -44 35 38.59981 , +   12.20 , -   10.31 ,    3.8 ,  8.19  
5628,                    , 18 32 33.272144 ,  -35 20 58.58894 , -    1.68 , -   12.91 ,    4.4 ,  6.95  
3475, 45 Dra             , 18 32 34.522435 ,  +57  2 44.15101 , +    0.14 , -    7.70 ,    1.3 ,  4.77  
3472,                    , 18 32 46.155095 ,  +23 37   .48498 , +   12.93 , +   10.31 ,    4.1 ,  5.88  
3470,                    , 18 33   .916191 ,  -39 53 31.27613 , +   86.12 , -   80.04 ,   27.7 ,  6.22  
5630,                    , 18 33 14.657027 ,  +18 54 55.98952 , +    0.26 , -   73.81 ,    6.9 ,  6.83  
3471,                    , 18 33 57.766438 ,  -33  0 59.61627 , +    2.38 , -   11.30 ,    3.2 ,  5.28  
3476,                    , 18 34 19.570945 ,  +20 27 59.07607 , +    7.06 , -    6.12 ,    7.1 ,  6.57  
5631,                    , 18 34 23.913606 ,  +51  6 47.35580 , +    3.37 , +   13.23 ,     .3 ,  7.81  
5632,                    , 18 34 35.340493 ,  + 3  8  8.80942 , +    7.96 , +    0.63 ,    4.0 ,  7.46  
3473,                    , 18 34 53.657903 ,  -52 23 15.01722 , +   38.01 , -   63.33 ,    4.7 ,  6.83  
3477,                    , 18 35  2.392747 ,  -10 58 37.94744 , +   49.17 , -    5.59 ,   11.2 ,  5.12  
5633,                    , 18 35  9.339673 ,  -55 34 57.24214 , -    1.56 , -    1.05 ,    3.5 ,  7.62  
5634,                    , 18 35 46.087762 ,  +27 12 41.54056 , +    0.24 , -    3.83 ,    3.9 ,  8.05  
3478,                    , 18 35 59.645220 ,  -29 41 56.77575 , +    5.53 , -   10.22 ,    3.0 ,  6.36  
3481,                    , 18 36 45.549043 ,  +43 13 18.53321 , +   21.47 , -   10.78 ,    7.9 ,  6.21  
5635,                    , 18 37  9.432824 ,  + 0 57  4.10307 , +   12.75 , +   22.73 ,   17.0 ,  6.88  
5636,                    , 18 37 12.840151 ,  -25 40 16.56463 , +  171.67 , -  281.85 ,   33.1 ,  7.43  
5637,                    , 18 37 15.660473 ,  -40 48 13.11083 , -   15.83 , -   29.09 ,    2.6 ,  6.96  
5638,                    , 18 37 31.742783 ,  +35 39 35.18732 , -    3.79 , -    6.16 ,    5.3 ,  8.76  
3484,                    , 18 37 33.504118 ,  +62 31 35.72360 , -    5.61 , +   52.25 ,    7.6 ,  5.74  
5639,                    , 18 37 51.108565 ,  - 6 47 48.49502 , +    5.28 , +    3.18 ,    1.1 ,  7.95  
3479,                    , 18 37 51.567903 ,  -17 13 52.62432 , +    0.74 , -    1.45 ,    2.7 ,  6.78  
3482,                    , 18 39 14.292677 ,  -47 54 35.16889 , +   24.90 , +   14.13 ,    9.9 ,  5.84  
3485,                    , 18 39 36.877057 ,  + 5 15 51.43430 , +    2.14 , +    2.24 ,    1.3 ,  6.36  
5640,                    , 18 40 59.697493 ,  +41 55  1.90383 , +    5.39 , +   12.32 ,    4.7 ,  7.72  
5641,                    , 18 41   .423839 ,  -30 31 44.67047 , -   11.68 , -   35.31 ,    4.7 ,  7.70  
5642,                    , 18 41 36.299606 ,  -17 59 16.00874 , -    0.45 , -    2.45 ,    2.4 ,  8.62  
3487,                    , 18 41 41.311382 ,  +31 37  3.40499 , +    8.13 , +    6.47 ,    2.9 ,  6.41  
3486, 26 Sgr             , 18 41 51.629801 ,  -23 50   .31866 , +   30.61 , -   27.67 ,   15.7 ,  6.22  
5643,                    , 18 42 30.004907 ,  -70 18 11.39208 , -    0.92 , -   17.73 ,    5.1 ,  7.25  
5644,                    , 18 42 50.005437 ,  +36 57 30.88861 , +    6.32 , +    0.63 ,     .7 ,  7.97  
5646,                    , 18 44 35.356123 ,  +64 48 36.24588 , +   38.37 , +   75.67 ,    5.0 ,  7.28  
3489,                    , 18 45 26.900906 ,  -64 52 16.53406 , +   32.55 , -  148.84 ,   34.2 ,  4.78  
5647,                    , 18 45 48.006913 ,  -67 51  2.32330 , +    2.40 , -    7.67 ,    6.0 ,  8.60  
5648,                    , 18 46  8.482925 ,  +40 16 47.31522 , +    8.72 , -   12.30 ,    2.2 ,  8.65  
3493,                    , 18 46 13.008996 ,  +41 26 30.51979 , +    0.34 , +    0.14 ,    2.6 ,  6.06  
3488,                    , 18 46 15.693448 ,  -72 48 48.82550 , -   53.72 , -   78.74 ,   15.0 ,  6.84  
5649,                    , 18 46 41.644482 ,  +44 41  6.45442 , -    8.18 , -   27.67 ,    1.0 ,  9.46  
3492, mu Dra             , 18 47 44.618838 ,  -40 24 22.20005 , +   25.18 , -   18.52 ,    8.3 ,  5.20  
5650,                    , 18 47 55.444296 ,  -23 15 25.64184 , +    0.55 , +    3.67 ,    6.2 ,  9.10  
3494,                    , 18 48  2.665368 ,  + 4 14 29.12000 , -    5.03 , +   14.35 ,    3.6 ,  6.20  
3497,                    , 18 48 16.074245 ,  +48 46  3.20331 , -   18.98 , +   48.74 ,   17.8 ,  6.12  
5652,                    , 18 48 39.533516 ,  +19 48 33.64761 , +    2.88 , -    9.03 ,     .8 ,  8.06  
3495,                    , 18 49 27.344063 ,  -45 48 36.36184 , +   74.65 , +   57.17 ,    7.5 ,  5.80  
3498,                    , 18 50 31.170265 ,  -13 34 20.14027 , -    4.81 , -    7.59 ,    1.9 ,  6.48  
5657,                    , 18 51   .939613 ,  + 0 14 46.78635 , +    3.70 , -    0.53 ,    4.1 ,  8.85  
5659,                    , 18 51  9.672710 ,  -83 33 46.92434 , -    2.32 , +    0.37 ,    5.4 ,  7.66  
3500, 8 Aql              , 18 51 22.157950 ,  - 3 19  4.28487 , +    1.28 , -   21.45 ,   11.8 ,  6.08  
5660,                    , 18 51 23.922464 ,  -51 31 12.77644 , +    3.53 , -   26.48 ,    2.6 ,  7.42  
5661,                    , 18 51 51.532966 ,  +54 54 20.27218 , +    5.18 , +    0.70 ,    2.3 ,  8.83  
5662,                    , 18 51 52.406254 ,  +50 58  4.00740 , -    3.52 , +    3.49 ,    2.4 ,  9.23  
5663,                    , 18 51 54.106750 ,  +31 23 38.74704 , -    1.02 , -    1.58 ,    3.0 ,  8.11  
3992,                    , 18 51 58.045816 ,  -83 18 58.86990 , +    1.57 , -   17.95 ,    3.0 ,  7.17  
3499, kappa Tel          , 18 52 39.643492 ,  -52  6 26.53769 , +   39.31 , -   96.26 ,   11.1 ,  5.18  
3502,                    , 18 52 41.687221 ,  -30 44  2.62197 , -    1.04 , -   17.56 ,    5.9 ,  6.64  
5664,                    , 18 52 49.558475 ,  - 4 45 48.41694 , +    2.68 , -    5.46 ,    1.7 ,  9.20  
5665,                    , 18 53 44.696980 ,  +60  1  4.34346 , +    1.84 , -    1.81 ,    1.3 ,  7.05  
3961,                    , 18 53 53.877122 ,  +82 22 12.09686 , +   19.13 , +   21.81 ,    6.4 ,  6.89  
5666,                    , 18 54  9.146653 ,  -47 15 47.44665 , +   21.34 , -   21.04 ,    4.2 ,  7.31  
3507,                    , 18 54 21.928233 ,  +10 48 30.00277 , +   11.79 , +    8.57 ,    2.5 ,  6.54  
5667,                    , 18 54 28.202333 ,  +20 21 35.65222 , +   13.21 , +    9.69 ,    3.2 ,  7.18  
3504,                    , 18 55 45.701016 ,  -56 25 24.14804 , +    8.84 , -    0.42 ,    2.9 ,  6.77  
3496,                    , 18 56   .021338 ,  -80 43 40.38628 , +    9.29 , -    8.37 ,    3.9 ,  6.57  
5668,                    , 18 56  8.637974 ,  -29 28 35.94502 , -    0.73 , +    2.63 ,   10.0 ,  7.28  
3510,                    , 18 56 22.659431 ,  - 1 47 59.50845 , -    3.64 , -   19.78 ,    6.2 ,  6.20  
3514,                    , 18 56 25.717567 ,  +65 15 29.10045 , -   16.59 , -   29.00 ,   10.3 ,  5.62  
3513, 48 Dra             , 18 56 45.048520 ,  +57 48 53.44885 , -   28.22 , -   61.06 ,   11.4 ,  5.67  
5669,                    , 18 56 45.755644 ,  -35 18   .87294 , +    6.67 , -    7.38 ,    2.0 ,  8.85  
3505, kappa Pav          , 18 56 57.029130 ,  -67 14   .58116 , -    7.64 , +   16.60 ,    6.0 ,  4.40  
5670,                    , 18 57 17.910572 ,  -44 18  4.91331 , -    3.96 , -   18.80 ,    4.3 ,  7.54  
5671,                    , 18 57 41.508279 ,  -85 33 55.19155 , -    4.16 , -   23.66 ,    2.1 ,  8.01  
5672,                    , 18 57 55.049595 ,  +68 30 20.42943 , -    2.31 , -   10.87 ,    4.3 ,  8.37  
3511, omega Pav          , 18 58 36.448198 ,  -60 12  1.97830 , -  124.82 , +   32.53 ,    6.3 ,  5.14  
5674,                    , 18 58 37.014074 ,  -14 46  7.16423 , +    7.16 , -   29.71 ,    5.1 ,  8.65  
3517,                    , 18 58 52.628113 ,  +69 31 52.64916 , +    5.12 , +   11.55 ,    5.1 ,  6.52  
5675,                    , 18 59 18.369698 ,  - 1 22  3.38309 , +    0.92 , -    3.37 ,     .9 ,  8.47  
3515,                    , 19  0 13.677216 ,  +50 32   .47826 , +    6.87 , +    3.02 ,    5.2 ,  5.39  
3518,                    , 19  1 17.356787 ,  +26 17 29.08002 , -    0.58 , -    9.14 ,    4.6 ,  5.69  
5676,                    , 19  1 24.551057 ,  + 7 16 46.04156 , -   19.68 , -    7.98 ,    8.3 ,  8.91  
3521,                    , 19  2 52.621272 ,  +19 39 39.64401 , +    6.79 , -    0.84 ,    2.1 ,  6.11  
3519, zeta CrA           , 19  3  6.876897 ,  -42  5 42.37774 , +   56.35 , -   45.48 ,   17.7 ,  4.74  
3516,                    , 19  3 12.230532 ,  -56 59 48.00314 , +    7.69 , -  155.58 ,   21.3 ,  7.07  
5677,                    , 19  3 17.871103 ,  +25 49 34.01812 , -    0.67 , -    2.18 ,    2.0 ,  6.97  
5678,                    , 19  4  1.666539 ,  +40  6 58.39258 , -   21.12 , -   25.20 ,    1.4 ,  7.66  
5679,                    , 19  4  3.351154 ,  +30 10  3.78802 , -    4.04 , -    0.96 ,    4.3 ,  9.35  
5680,                    , 19  4 33.025947 ,  +45 55 17.99461 , +   15.63 , +   15.30 ,    5.7 ,  7.16  
3523,                    , 19  6 55.606536 ,  -48 17 56.91806 , +   12.80 , -   12.04 ,    9.3 ,  5.95  
5682,                    , 19  8 24.464114 ,  +13  5 52.71308 , +    1.61 , -   10.28 ,    2.8 ,  7.26  
3530, 19 Aql             , 19  8 59.911771 ,  + 6  4 23.54802 , -    9.70 , -   77.91 ,   22.9 ,  5.23  
3536, 59 Dra             , 19  9  9.878680 ,  +76 33 37.80942 , +   51.88 , -  119.61 ,   36.6 ,  5.11  
5683,                    , 19  9 17.521750 ,  +35 11  6.00428 , -    1.27 , -   13.18 ,    1.8 ,  8.72  
5684,                    , 19  9 18.018277 ,  +32 52  8.08665 , -    7.59 , -   21.72 ,    3.1 ,  7.59  
5686,                    , 19  9 30.837629 ,  -22 22 38.81242 , -    9.46 , -    0.24 ,    4.2 ,  8.61  
3528,                    , 19  9 36.363275 ,  -36  9 53.30859 , -    7.67 , -   12.34 ,    3.5 ,  6.54  
3531, 55 Dra             , 19  9 45.807056 ,  +65 58 42.64673 , +    3.95 , +   28.59 ,   10.1 ,  6.26  
3524,                    , 19 10  8.265594 ,  -71 32 54.70018 , -    1.57 , +    9.41 ,    8.0 ,  6.64  
5687,                    , 19 11 11.941473 ,  -28 32  2.89525 , -    0.62 , -    8.25 ,    2.8 ,  8.56  
5688,                    , 19 11 15.732064 ,  +86  4 45.16518 , +   40.36 , +    1.27 ,    4.6 ,  8.68  
5689,                    , 19 11 21.936823 ,  -56 18 24.17962 , +    4.81 , +    0.34 ,    2.5 ,  7.40  
3535, 53 Dra             , 19 11 40.568094 ,  +56 51 33.16267 , +   44.17 , +   47.70 ,    9.5 ,  5.13  
3532, 19 Lyr             , 19 11 46.008661 ,  +31 17   .44312 , -    3.52 , -    2.95 ,    3.3 ,  5.93  
5690,                    , 19 12 54.330639 ,  -59 41 19.35726 , +   22.79 , +   38.12 ,    9.7 ,  8.64  
3527,                    , 19 13  9.147400 ,  -77 51 50.61247 , +    6.19 , +   11.50 ,    2.3 ,  7.03  
3533,                    , 19 13 13.668132 ,  -25 54 24.42791 , -    2.40 , -    8.91 ,    1.5 ,  5.79  
3534,                    , 19 13 15.522760 ,  -12 16 57.29878 , +   11.55 , -   30.14 ,    5.7 ,  5.51  
5691,                    , 19 13 47.725003 ,  - 1 50  6.58394 , -    2.80 , -    5.89 ,    1.8 ,  8.92  
5692,                    , 19 14 21.511011 ,  -77  2 52.39090 , +    1.77 , +   15.07 ,    5.0 ,  7.53  
5694,                    , 19 15 26.275526 ,  -19 47 13.12350 , +    6.00 , -   28.69 ,    5.6 ,  7.66  
3539,                    , 19 16 13.503503 ,  -30 27 34.50086 , +   15.86 , -    6.49 ,    7.8 ,  7.25  
5695,                    , 19 16 16.663475 ,  - 8 41 24.25853 , +   11.51 , -    1.31 ,    3.6 ,  7.24  
3541,                    , 19 16 51.386224 ,  +46 59 56.76831 , -    9.95 , +  291.75 ,   23.5 ,  6.02  
3538,                    , 19 17   .520323 ,  -65 13 39.73102 , -    4.07 , -   24.27 ,    4.6 ,  6.42  
5696,                    , 19 17 25.834417 ,  -51 29 48.52288 , +    4.82 , -   13.84 ,    1.5 ,  7.96  
5697,                    , 19 17 28.140585 ,  -14 30  4.96403 , +    1.00 , -    5.73 ,     .5 ,  8.69  
5698,                    , 19 18 30.121663 ,  +50 13 39.42765 , -    4.98 , -    3.31 ,    1.2 ,  7.51  
3543,                    , 19 18 58.113279 ,  +40 21 37.64806 , +    7.29 , +    7.63 ,    4.7 ,  6.88  
