 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
4649,                    ,  7 11 15.383231 ,  +24 39 49.53133 , +    4.95 , -    6.64 ,    1.7 ,  7.97  
2553, 47 Gem             ,  7 11 23.066952 ,  +26 51 23.70962 , -   20.00 , -   34.15 ,    8.3 ,  5.75  
2556,                    ,  7 11 41.605254 ,  -20 52 59.02672 , -    8.98 , +   21.66 ,    6.6 ,  5.84  
4651,                    ,  7 12 10.088278 ,  -30 16 54.01838 , -    3.95 , +   22.98 ,    2.9 ,  8.49  
2557,                    ,  7 13  7.194002 ,  -11 15  4.82804 , -    2.37 , +    8.01 ,    4.9 ,  5.77  
2555,                    ,  7 13 23.400081 ,  +51 25 43.47640 , +    7.12 , +   12.68 ,    4.2 ,  5.46  
2550,                    ,  7 13 55.114089 ,  +78 45  8.82854 , +    9.86 , +   29.37 ,   10.2 ,  6.93  
2552,                    ,  7 13 58.035924 ,  +71 48 59.70531 , +   23.56 , +   18.78 ,    8.2 ,  6.36  
4652,                    ,  7 14  3.311023 ,  + 4 34 40.65057 , +   21.48 , -   18.38 ,    4.5 ,  7.55  
2560,                    ,  7 14 22.503170 ,  -61  4 11.24184 , -  114.59 , +   16.77 ,   16.5 ,  7.17  
2559,                    ,  7 14 32.620461 ,  +12  6 56.96309 , -   50.08 , -   17.63 ,    9.8 ,  5.71  
2558, 18 Lyn             ,  7 15 54.903771 ,  +59 38 14.88256 , -  100.61 , -  258.51 ,   16.8 ,  5.20  
4654,                    ,  7 15 59.846949 ,  -54 57 41.75632 , +    6.42 , +   30.92 ,    6.0 ,  7.37  
2561,                    ,  7 16 14.552999 ,  -15 35  8.48668 , -   45.16 , -   14.76 ,   11.7 ,  5.46  
2562,                    ,  7 16 34.993152 ,  -27 52 52.24444 , -   12.54 , +   38.72 ,    7.2 ,  4.66  
4655,                    ,  7 16 53.086912 ,  - 9 43 51.91587 , -    3.15 , +    2.00 ,    2.7 ,  7.76  
4656,                    ,  7 17  9.531732 ,  +33  5 31.39784 , -   59.45 , -  172.95 ,   36.5 ,  6.93  
2563,                    ,  7 18  4.090783 ,  +30 57 21.13709 , -    5.00 , -   22.79 ,    5.3 ,  6.19  
4657,                    ,  7 18 28.584338 ,  -41 57 30.85569 , +    4.89 , -    5.67 ,    3.8 ,  8.15  
4658,                    ,  7 19  8.576327 ,  -38  2 16.78358 , -    7.43 , +   37.87 ,    5.4 ,  7.02  
2566,                    ,  7 19 13.685268 ,  -33 43 37.79660 , -   15.23 , -    8.12 ,    4.4 ,  6.31  
2564,                    ,  7 19 22.371307 ,  + 2 44 26.49216 , -    1.35 , -   11.38 ,    6.2 ,  5.90  
4660,                    ,  7 19 45.638892 ,  -15 15 38.00822 , -    7.47 , +    2.61 ,     .8 ,  8.37  
2565,                    ,  7 19 47.645111 ,  + 7  8 34.61129 , +   60.43 , -   59.15 ,   16.8 ,  5.91  
4662,                    ,  7 21  3.098753 ,  +42 39 21.28351 , -   17.71 , -   35.95 ,    4.0 ,  6.33  
4663,                    ,  7 21  7.545229 ,  - 2 23 48.96429 , -    2.93 , +    1.19 ,    1.6 ,  8.93  
2567,                    ,  7 21 17.498866 ,  +45 13 41.51194 , -   48.95 , +   11.24 ,   28.9 ,  5.74  
2569,                    ,  7 21 34.630850 ,  - 5 53 49.87123 , -    2.66 , +    3.11 ,    1.7 ,  6.60  
2570,                    ,  7 22 13.529115 ,  -19  0 59.76437 , -    1.49 , -    6.91 ,    6.3 ,  4.94  
4665,                    ,  7 23 21.301738 ,  - 4 25 56.75792 , -    1.99 , +    2.44 ,     .6 ,  8.69  
4666,                    ,  7 23 41.603306 ,  +54  5 30.02585 , -    4.06 , -   30.29 ,    4.4 ,  8.40  
2573,                    ,  7 24  9.385485 ,  -58 29 31.01548 , -   87.99 , +  137.46 ,   20.6 ,  6.58  
2576,                    ,  7 24 37.127558 ,  -71 28 14.36234 , +    7.63 , +   41.24 ,   12.9 ,  6.49  
4668,                    ,  7 25  9.125654 ,  -70 24 13.77589 , +   11.59 , +   13.22 ,    6.8 ,  7.75  
2574,                    ,  7 25 25.267933 ,  -25 13  3.95685 , -    8.54 , -    0.53 ,    3.4 ,  5.79  
2583, epsilon Men        ,  7 25 38.097927 ,  -79  5 39.08126 , -   29.37 , +    5.51 ,    6.9 ,  5.54  
2575,                    ,  7 26 21.850607 ,  -51  1  6.53090 , -    5.48 , +    6.24 ,    5.8 ,  5.09  
2572, 21 Lyn             ,  7 26 42.851442 ,  +49 12 41.49465 , -   10.63 , -   48.81 ,   13.1 ,  4.61  
4669,                    ,  7 26 58.292079 ,  +23 55 39.67233 , -   13.82 , -    2.79 ,     .5 ,  8.84  
4670,                    ,  7 26 59.938219 ,  -59 34 43.17385 , +   13.04 , +   24.45 ,    5.8 ,  7.81  
2571,                    ,  7 27 25.836387 ,  +66 19 53.65281 , -    4.69 , -   29.37 ,    3.6 ,  6.47  
4671,                    ,  7 27 59.235181 ,  -47  6 27.02254 , -   23.19 , +   58.20 ,    4.3 ,  7.65  
2584,                    ,  7 28 51.408162 ,  -64 30 35.29816 , +    4.90 , -    8.63 ,    4.7 ,  6.38  
2578,                    ,  7 29 18.668259 ,  - 1 54 19.18374 , -   12.16 , -    8.96 ,    2.0 ,  5.60  
2577,                    ,  7 29 30.741560 ,  +19 37 59.42138 , +   15.48 , -    3.56 ,    4.8 ,  6.73  
4673,                    ,  7 29 52.325776 ,  +56 58 19.23484 , +    0.41 , -   14.71 ,    3.0 ,  8.51  
4674,                    ,  7 30 23.392808 ,  +19 48 50.11958 , +   58.20 , -  127.96 ,   24.2 ,  7.07  
2586,                    ,  7 30 30.919512 ,  -54 23 57.71475 , +   13.23 , +   27.35 ,    7.5 ,  5.95  
2582,                    ,  7 30 51.134178 ,  - 5 13 35.38013 , -    5.82 , -    3.52 ,     .3 ,  6.24  
