ID,Name,Source
779,2443                    ,FK6
780,2438                    ,FK6
781,4535                    ,FK6
782,4536                    ,FK6
783,4537                    ,FK6
784,4538                    ,FK6
785,4539                    ,FK6
786,2450                    ,FK6
787,2449                    ,FK6
788,4541                    ,FK6
789,4542                    ,FK6
790,2454 sigma Col          ,FK6
791,2453                    ,FK6
792,2448                    ,FK6
793,4543                    ,FK6
794,4544                    ,FK6
795,4545                    ,FK6
796,4546                    ,FK6
797,2457                    ,FK6
798,2456                    ,FK6
799,2462                    ,FK6
800,2460                    ,FK6
801,4548                    ,FK6
802,2458                    ,FK6
803,4549                    ,FK6
804,4550                    ,FK6
805,4551                    ,FK6
806,4552                    ,FK6
807,4553                    ,FK6
808,2459                    ,FK6
809,4554                    ,FK6
810,4555                    ,FK6
811,2466 theta Lep          ,FK6
812,4556                    ,FK6
813,4558                    ,FK6
814,4559                    ,FK6
815,2469                    ,FK6
816,2468 theta Col          ,FK6
817,3977                    ,FK6
818,4560                    ,FK6
819,4561                    ,FK6
820,4562                    ,FK6
821,2476                    ,FK6
822,2472                    ,FK6
823,4563                    ,FK6
824,2473 eta^2 Dor          ,FK6
825,4564                    ,FK6
826,4565                    ,FK6
827,2470                    ,FK6
828,4566                    ,FK6
829,4567                    ,FK6
830,2482                    ,FK6
831,2477                    ,FK6
832,2478                    ,FK6
833,4568                    ,FK6
834,2479 1 Lyn              ,FK6
835,4570                    ,FK6
836,4571                    ,FK6
837,4572                    ,FK6
838,4573                    ,FK6
839,4574                    ,FK6
840,2486                    ,FK6
841,4575                    ,FK6
842,4576                    ,FK6
843,2485                    ,FK6
844,4577                    ,FK6
845,4578                    ,FK6
846,2490                    ,FK6
847,4579                    ,FK6
848,4580                    ,FK6
849,2487                    ,FK6
850,2492                    ,FK6
851,4581                    ,FK6
852,4582                    ,FK6
853,2495 pi^2 Dor           ,FK6
854,4583                    ,FK6
855,4584                    ,FK6
856,4585                    ,FK6
857,2493                    ,FK6
858,2494                    ,FK6
859,4589                    ,FK6
860,4590                    ,FK6
861,2498                    ,FK6
862,4591                    ,FK6
863,2496 47 Aur             ,FK6
864,2502                    ,FK6
865,2499                    ,FK6
866,2501                    ,FK6
867,4594                    ,FK6
868,2514                    ,FK6
869,2506                    ,FK6
870,4595                    ,FK6
871,4596                    ,FK6
872,4597                    ,FK6
873,2508                    ,FK6
874,4598                    ,FK6
875,2504 49 Aur             ,FK6
876,2505                    ,FK6
877,4599                    ,FK6
878,4600                    ,FK6
879,2509                    ,FK6
880,2510 nu^2 CMa           ,FK6
881,4601                    ,FK6
882,2512                    ,FK6
883,4602                    ,FK6
884,4604                    ,FK6
885,4605                    ,FK6
886,2513                    ,FK6
887,2515                    ,FK6
888,4606                    ,FK6
889,4607                    ,FK6
890,2507                    ,FK6
891,4608                    ,FK6
892,2511                    ,FK6
893,4609                    ,FK6
894,2516                    ,FK6
895,4610                    ,FK6
896,2517 psi^4 Aur          ,FK6
897,4611                    ,FK6
898,2522                    ,FK6
